Gene_Name,Database_ID
ARF5,ENSP00000000233.5
M6PR,ENSP00000000412.3
ESRRA,ENSP00000000442.6
FKBP4,ENSP00000001008.4
NDUFAF7,ENSP00000002125.4
FUCA2,ENSP00000002165.5
DBNDD1,ENSP00000002501.6
SEMA3F,ENSP00000002829.3
CFTR,ENSP00000003084.6
CYP51A1,ENSP00000003100.8
USP28,ENSP00000003302.4
TMEM176A,ENSP00000004103.3
SLC7A2,ENSP00000004531.10
HSPB6,ENSP00000004982.3
ZNF195,ENSP00000005082.9
PDK4,ENSP00000005178.5
RALA,ENSP00000005257.2
BAIAP2L1,ENSP00000005260.8
TMEM132A,ENSP00000005286.4
DVL2,ENSP00000005340.4
RPAP3,ENSP00000005386.3
IFRD1,ENSP00000005558.4
SKAP2,ENSP00000005587.2
CX3CL1,ENSP00000006053.6
PRR5,ENSP00000006251.7
TRAPPC6A,ENSP00000006275.3
WDR54,ENSP00000006526.6
SPATA20,ENSP00000006658.6
RHBDD2,ENSP00000006777.6
RPUSD1,ENSP00000007264.2
TSR3,ENSP00000007390.2
OSBPL7,ENSP00000007414.3
NDUFAB1,ENSP00000007516.2
YBX2,ENSP00000007699.5
TFAP2D,ENSP00000008391.4
CRY1,ENSP00000008527.5
PGLYRP1,ENSP00000008938.3
CD9,ENSP00000009180.4
CD74,ENSP00000009530.7
RPS20,ENSP00000009589.3
MGST1,ENSP00000010404.2
RANBP9,ENSP00000011619.3
CD4,ENSP00000011653.4
PLEKHG6,ENSP00000011684.7
SS18L2,ENSP00000011691.4
TSPAN9,ENSP00000011898.5
QPCTL,ENSP00000012049.4
HIVEP2,ENSP00000012134.2
PPP5C,ENSP00000012443.4
NME1,ENSP00000013034.3
UBR7,ENSP00000013070.6
MAP4K5,ENSP00000013125.4
INMT,ENSP00000013222.5
PTBP1,ENSP00000014112.5
GPRC5A,ENSP00000014914.6
HEBP1,ENSP00000014930.4
COX15,ENSP00000016171.6
XYLT2,ENSP00000017003.2
FTSJ1,ENSP00000019019.2
RALBP1,ENSP00000019317.4
SYT13,ENSP00000020926.3
SNAI2,ENSP00000020945.1
VDAC3,ENSP00000022615.4
RB1CC1,ENSP00000025008.5
AKAP11,ENSP00000025301.2
STRAP,ENSP00000025399.6
B4GALT7,ENSP00000029410.5
CHPF2,ENSP00000035307.2
GABARAPL2,ENSP00000037243.2
MYOC,ENSP00000037502.5
FAM136A,ENSP00000037869.3
NSMAF,ENSP00000038176.3
OTC,ENSP00000039007.4
TTC17,ENSP00000039989.4
HOXC8,ENSP00000040584.4
MRI1,ENSP00000040663.5
BOD1L1,ENSP00000040738.5
TARBP1,ENSP00000040877.1
RIPOR1,ENSP00000042381.4
PSMA4,ENSP00000044462.7
RIPOR3,ENSP00000045083.2
