Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes,Gene_set
Wnt signaling pathway_Homo sapiens_hsa04310,4/142,0.003297233410146819,0.25722296560664737,0.0036117210631826445,0.2842823184172765,-1.8795088194352707,10.740775527075249,DKK4;SFRP4;NOTUM;WNT4,KEGG_2016
Chemical carcinogenesis_Homo sapiens_hsa05204,3/82,0.005323065209421779,0.25722296560664737,0.005980895158183381,0.2842823184172765,-1.6625874732781043,8.704819166745953,GSTO2;ADH1B;AKR1C2,KEGG_2016
Rheumatoid arthritis_Homo sapiens_hsa05323,3/90,0.0068899008644637645,0.25722296560664737,0.0076736961463715805,0.2842823184172765,-1.7174610605221197,8.5490034862568,CXCL1;FOS;HLA-DRB3,KEGG_2016
Amoebiasis_Homo sapiens_hsa05146,3/100,0.009196818441400599,0.2575109163592168,0.010152939943474158,0.2842823184172765,-1.7901321553185308,8.393746503386126,COL1A1;GNA14;CXCL1,KEGG_2016
Carbon metabolism_Homo sapiens_hsa01200,3/113,0.012797220653082312,0.28665774262904375,0.014002244597401152,0.3136502789817859,-1.6087476116909896,7.011770333065312,GLDC;SDHC;FBP1,KEGG_2016
Oxidative phosphorylation_Homo sapiens_hsa00190,3/133,0.01971027970712646,0.3398439947356013,0.02135385549804152,0.367612212862552,-1.6981613893316791,6.668025927375568,SDHC;COX7A1;UQCRH,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,3/151,0.027383515740708707,0.3398439947356013,0.02948029963289286,0.367612212862552,-1.7823564511114007,6.4125871031870485,SDHC;COX7A1;UQCRH,KEGG_2016
Parkinson's disease_Homo sapiens_hsa05012,3/142,0.02337438374294112,0.3398439947356013,0.025237584095429942,0.367612212862552,-1.6246242668223931,6.102274876289438,SDHC;COX7A1;UQCRH,KEGG_2016
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,2/67,0.03373777165597752,0.3398439947356013,0.03666255023165455,0.367612212862552,-1.7273761683248117,5.854314914451895,ADH1B;FBP1,KEGG_2016
Alzheimer's disease_Homo sapiens_hsa05010,3/168,0.03589271648476979,0.3398439947356013,0.038469002365607116,0.367612212862552,-1.5915693318724529,5.2955027249170135,SDHC;COX7A1;UQCRH,KEGG_2016
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982,2/69,0.03560175065431001,0.3398439947356013,0.03862534247433684,0.367612212862552,-1.5640448132264742,5.2166532381051445,GSTO2;ADH1B,KEGG_2016
Leishmaniasis_Homo sapiens_hsa05140,2/73,0.03944617796038229,0.3398439947356013,0.042669274707260514,0.367612212862552,-1.5119906632313271,4.887990812635148,FOS;HLA-DRB3,KEGG_2016
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980,2/73,0.03944617796038229,0.3398439947356013,0.042669274707260514,0.367612212862552,-1.42705401606556,4.613406080666612,GSTO2;ADH1B,KEGG_2016
Huntington's disease_Homo sapiens_hsa05016,3/193,0.050584868256749856,0.3452224248953374,0.05395727435813946,0.3744149798077436,-1.5290216385996194,4.562757743405401,SDHC;COX7A1;UQCRH,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,3/202,0.056488546276289686,0.3452224248953374,0.060173836040530206,0.3744149798077436,-1.4945338570500053,4.294867923222276,COL1A1;PDGFD;THBS4,KEGG_2016
Cardiac muscle contraction_Homo sapiens_hsa04260,2/78,0.04446202784688456,0.3452224248953374,0.04793793518527084,0.3744149798077436,-1.378659062330826,4.2919307704790945,COX7A1;UQCRH,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,2/82,0.04863552351116086,0.3452224248953374,0.052316331271441016,0.3744149798077436,-1.287175068428556,3.891646490280252,COL1A1;THBS4,KEGG_2016
Choline metabolism in cancer_Homo sapiens_hsa05231,2/101,0.07022737808668467,0.3801150831707909,0.07491106581036874,0.40991151989782515,-1.4057525105428392,3.7337026258851247,PDGFD;FOS,KEGG_2016
Salmonella infection_Homo sapiens_hsa05132,2/86,0.05294554083195282,0.3452224248953374,0.056833521152691614,0.3744149798077436,-1.2485157308080832,3.668752769175621,CXCL1;FOS,KEGG_2016
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,2/104,0.07387905821645165,0.3801150831707909,0.07872518083580148,0.40991151989782515,-1.289391542778677,3.359285144518908,GNA14;FOS,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,2/110,0.0813602990001102,0.39618928208749327,0.08653427741094565,0.42138430739243127,-1.3223137227034945,3.3175103894436515,CXCL1;FOS,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,3/258,0.09990906478033047,0.4246272772711993,0.10583917669004816,0.4473247816321265,-1.3684599077210124,3.152240362049234,FOS;HLA-DRB3;WNT4,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,3/265,0.10607422845923117,0.4246272772711993,0.11231875828416094,0.4473247816321265,-1.2990171230878136,2.9144958113735164,TNFRSF19;TNFRSF10C;CXCL1,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,2/140,0.12180752173245353,0.4246272772711993,0.1286699723360206,0.4473247816321265,-1.1901603987209333,2.5056603628287024,TNFRSF10C;FOS,KEGG_2016
Systemic lupus erythematosus_Homo sapiens_hsa05322,2/135,0.11475913993646145,0.4246272772711993,0.12133547445472542,0.4473247816321265,-1.0976942976964823,2.3764201000570404,HLA-DRB3;HIST2H2BF,KEGG_2016
